Taxonomy,sample,relab,timepoint,mouse_id
Deferribacteraceae,D5M31,0.0126005040201608,D5,M31
Oscillospiraceae,D5M31,0.0292811712468499,D5,M31
Ruminococcaceae,D5M31,0.0175607024280971,D5,M31
Muribaculaceae,D5M32,0.395895835833433,D5,M32
Bacteroidaceae,D5M32,0.154486179447178,D5,M32
Lachnospiraceae,D5M32,0.0963238529541182,D5,M32
Lactobacillaceae,D5M32,0.0045601824072962,D5,M32
Erysipelotrichaceae,D5M32,0.0456418256730269,D5,M32
Akkermansiaceae,D5M32,0.077803112124485,D5,M32
Rikenellaceae,D5M32,0.138805552222089,D5,M32
Deferribacteraceae,D5M32,0.0343613744549782,D5,M32
Oscillospiraceae,D5M32,0.0048001920076803,D5,M32
Ruminococcaceae,D5M32,0.0108404336173447,D5,M32
Muribaculaceae,D5M33,0.458338333533341,D5,M33
Bacteroidaceae,D5M33,0.0686027441097644,D5,M33
Lachnospiraceae,D5M33,0.119044761790472,D5,M33
Lactobacillaceae,D5M33,0.0056402256090243,D5,M33
Erysipelotrichaceae,D5M33,0.0568422736909476,D5,M33
Akkermansiaceae,D5M33,0.078403136125445,D5,M33
Rikenellaceae,D5M33,0.0573622944917797,D5,M33
Deferribacteraceae,D5M33,0.0766030641225649,D5,M33
Oscillospiraceae,D5M33,0.0129605184207368,D5,M33
Ruminococcaceae,D5M33,0.0068002720108804,D5,M33
Muribaculaceae,D5M34,0.432977319092764,D5,M34
Bacteroidaceae,D5M34,0.0803632145285811,D5,M34
Lachnospiraceae,D5M34,0.119844793791752,D5,M34
Lactobacillaceae,D5M34,0.001160046401856,D5,M34
Erysipelotrichaceae,D5M34,0.0454018160726429,D5,M34
Akkermansiaceae,D5M34,0.0546421856874275,D5,M34
Rikenellaceae,D5M34,0.15720628825153,D5,M34
Deferribacteraceae,D5M34,0.0018400736029441,D5,M34
Oscillospiraceae,D5M34,0.0256810272410896,D5,M34
Ruminococcaceae,D5M34,0.0276411056442258,D5,M34
Muribaculaceae,D5M35,0.578943157726309,D5,M35
Bacteroidaceae,D5M35,0.0740429617184687,D5,M35
Lachnospiraceae,D5M35,0.0520020800832033,D5,M35
Lactobacillaceae,D5M35,0.0041601664066562,D5,M35
Erysipelotrichaceae,D5M35,0.0260810432417297,D5,M35
Akkermansiaceae,D5M35,0.0327613104524181,D5,M35
Rikenellaceae,D5M35,0.141765670626825,D5,M35
Deferribacteraceae,D5M35,0.015960638425537,D5,M35
Oscillospiraceae,D5M35,0.0076003040121604,D5,M35
Ruminococcaceae,D5M35,0.0245609824392976,D5,M35
Muribaculaceae,D5M36,0.0,D5,M36
Bacteroidaceae,D5M36,0.0,D5,M36
Lachnospiraceae,D5M36,0.0,D5,M36
Lactobacillaceae,D5M36,0.0,D5,M36
Erysipelotrichaceae,D5M36,0.0,D5,M36
Akkermansiaceae,D5M36,0.0,D5,M36
Rikenellaceae,D5M36,0.0,D5,M36
Deferribacteraceae,D5M36,0.0,D5,M36
Oscillospiraceae,D5M36,0.0,D5,M36
Ruminococcaceae,D5M36,0.0,D5,M36
Muribaculaceae,D5M37,0.528421136845474,D5,M37
Bacteroidaceae,D5M37,0.015400616024641,D5,M37
Lachnospiraceae,D5M37,0.145485819432777,D5,M37
Lactobacillaceae,D5M37,0.0113604544181767,D5,M37
Erysipelotrichaceae,D5M37,0.0958038321532861,D5,M37
Akkermansiaceae,D5M37,0.0582023280931237,D5,M37
Rikenellaceae,D5M37,0.0227609104364175,D5,M37
Deferribacteraceae,D5M37,0.0222808912356494,D5,M37
Oscillospiraceae,D5M37,0.0082403296131845,D5,M37
Ruminococcaceae,D5M37,0.0131205248209928,D5,M37
Muribaculaceae,D5M38,0.535701428057122,D5,M38
Bacteroidaceae,D5M38,0.0226009040361614,D5,M38
Lachnospiraceae,D5M38,0.158166326653066,D5,M38
Lactobacillaceae,D5M38,0.0173606944277771,D5,M38
Erysipelotrichaceae,D5M38,0.0518020720828833,D5,M38
Akkermansiaceae,D5M38,0.0198807952318093,D5,M38
Rikenellaceae,D5M38,0.0513620544821793,D5,M38
Deferribacteraceae,D5M38,0.0254410176407056,D5,M38
Oscillospiraceae,D5M38,0.0052802112084483,D5,M38
Ruminococcaceae,D5M38,0.0126005040201608,D5,M38
Muribaculaceae,D5M39,0.526541061642466,D5,M39
Bacteroidaceae,D5M39,0.0282411296451858,D5,M39
Lachnospiraceae,D5M39,0.162766510660426,D5,M39
Lactobacillaceae,D5M39,0.0245609824392976,D5,M39
Erysipelotrichaceae,D5M39,0.0497219888795552,D5,M39
Akkermansiaceae,D5M39,0.031641265650626,D5,M39
Rikenellaceae,D5M39,0.0486419456778271,D5,M39
Deferribacteraceae,D5M39,0.0252410096403856,D5,M39
Oscillospiraceae,D5M39,0.0045201808072322,D5,M39
Ruminococcaceae,D5M39,0.0108404336173447,D5,M39
Muribaculaceae,D5M40,0.418176727069083,D5,M40
Bacteroidaceae,D5M40,0.0246409856394256,D5,M40
Lachnospiraceae,D5M40,0.0886435457418297,D5,M40
Lactobacillaceae,D5M40,0.0179207168286731,D5,M40
Erysipelotrichaceae,D5M40,0.0172806912276491,D5,M40
Akkermansiaceae,D5M40,0.0321212848513941,D5,M40
Rikenellaceae,D5M40,0.0645225809032361,D5,M40
Deferribacteraceae,D5M40,0.150726029041162,D5,M40
Oscillospiraceae,D5M40,0.0362414496579863,D5,M40
Ruminococcaceae,D5M40,0.0168006720268811,D5,M40
Muribaculaceae,D6M31,0.217048681947278,D6,M31
Bacteroidaceae,D6M31,0.375335013400536,D6,M31
Lachnospiraceae,D6M31,0.130845233809352,D6,M31
Lactobacillaceae,D6M31,0.141285651426057,D6,M31
Erysipelotrichaceae,D6M31,0.0142005680227209,D6,M31
Akkermansiaceae,D6M31,0.000480019200768,D6,M31
Rikenellaceae,D6M31,0.0702828113124525,D6,M31
Deferribacteraceae,D6M31,0.0021600864034561,D6,M31
Oscillospiraceae,D6M31,0.0086803472138885,D6,M31
Ruminococcaceae,D6M31,0.0071202848113924,D6,M31
Muribaculaceae,D6M32,0.268730749229969,D6,M32
Bacteroidaceae,D6M32,0.205648225929037,D6,M32
Lachnospiraceae,D6M32,0.176207048281931,D6,M32
Lactobacillaceae,D6M32,0.152766110644426,D6,M32
Erysipelotrichaceae,D6M32,0.0302412096483859,D6,M32
Akkermansiaceae,D6M32,0.000360014400576,D6,M32
Rikenellaceae,D6M32,0.06276251050042,D6,M32
Deferribacteraceae,D6M32,0.0061202448097923,D6,M32
Oscillospiraceae,D6M32,0.03068122724909,D6,M32
Ruminococcaceae,D6M32,0.0120404816192648,D6,M32
Muribaculaceae,D6M33,0.232529301172047,D6,M33
Bacteroidaceae,D6M33,0.325653026121045,D6,M33
Lachnospiraceae,D6M33,0.150486019440778,D6,M33
Lactobacillaceae,D6M33,0.110844433777351,D6,M33
Erysipelotrichaceae,D6M33,0.0122004880195208,D6,M33
Akkermansiaceae,D6M33,0.00040001600064,D6,M33
Rikenellaceae,D6M33,0.0749629985199408,D6,M33
Deferribacteraceae,D6M33,0.0022400896035841,D6,M33
Oscillospiraceae,D6M33,0.0244809792391696,D6,M33
