Taxonomy	D4M31	D4M32	D4M33	D4M34	D4M35	D4M36	D4M37	D4M38	D4M39	D4M40	D5M31	D5M32	D5M33	D5M34	D5M35	D5M37	D5M38	D5M39	D5M40	D6M31	D6M32	D6M33	D6M34	D6M35	D6M36	D6M37	D6M38	D6M39	D6M40	D9M31	D9M32	D9M33	D9M34	D9M35	D9M36	D9M37	D9M38	D9M39	D9M40	D12M31	D12M32	D12M33	D12M34	D12M35	D12M36	D12M37	D12M38	D12M39	D12M40	Tax_detail
Bacteria	1	1.0	1	0.987999519980803	0.999919996799875	1	1	0.999959998399941	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999959998399937	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	k__Bacteria;
Archaea	0	0.0	0	0.0120004800192008	0.0	0	0	4.00016000640026e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Archaea;
Others	0	3.33066907387547e-16	0	0.0	8.00032001248008e-05	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00016000632331e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Others
